,MH
6192,-0.99000001
6597,-0.28
7838,-0.49000001
8666,-0.23
9356,-0.64561999
9551,-1.0
10277,0.15320501
10971,-0.83999997
11111,-0.43000001
11292,0.0
11410,-0.035168398
12105,0.22
13360,-0.169837
13441,-0.58394998
14024,-0.69999999
14416,-0.09418360099999999
14623,-0.39431599
14892,0.36308599
15352,0.187172
15493,-0.138319
15826,0.10803099999999999
15827,0.032344200000000004
16254,-0.050000000999999995
16258,0.18000001
16263,-0.14121599
16485,-0.147992
16692,-0.18992899
16913,-0.059594500999999994
17078,-0.20616201
17370,-0.93000001
17722,-0.53251201
17727,-0.29256999
17768,-0.22
17915,-1.23
17978,-0.22733299
18211,-0.236422
18244,0.14
18329,-0.09000000400000001
18413,-0.50188601
18443,-0.33702600000000005
18446,-0.41934201
18480,-0.34
18798,0.13
19109,0.0099999998
19314,-0.23999999
19636,-0.40203699
19682,-0.31
19714,-0.47999999
19715,-0.11180599999999999
19836,-0.028708801000000003
19842,-0.55438
19843,-0.14750201
20029,-0.64999998
20215,-0.30000001
20368,0.022872998999999998
20637,-1.1079
20653,-0.21271500000000002
20891,-0.28
21096,-0.12955999
21229,-0.31999999
21287,-0.69
21341,-0.34
21347,-0.175046
21523,-0.41
21527,-0.25928399
21641,-0.46000001
21968,-0.374033
22122,-0.12
22149,-0.75999999
22354,0.30874899
22383,0.12082999999999999
22555,-0.256037
22571,-0.050000000999999995
22763,0.050000000999999995
22960,-0.11861400000000001
22978,-0.26160499
23002,-1.09569
23266,-0.16
23339,-0.59163201
23409,-0.090845101
23635,-0.267326
23676,-0.54000002
23843,0.25
23895,0.18000001
24107,-0.041661300000000005
24240,0.0205546
24242,-0.29607901
24312,0.093589
24459,-0.51999998
24867,-0.59601903
25132,-0.12242
25324,-0.09000000400000001
25465,-0.99000001
25516,0.021240501000000002
25536,-0.09500300099999999
25540,-0.55000001
25576,-0.74000001
25838,-0.072571203
25839,-0.15488
25953,0.082588099
26136,0.02
26466,-0.0177467
