,ID,Teff,logg,MH
11332,12511106,6577.0,3.9635501000000004,
11376,246844663,6312.0,4.1817698,
11404,246885932,6085.0,4.5729599,
11469,12511115,5789.0,4.5908699,
11485,149010396,5906.0,3.9725299,
11562,246859033,5389.0,4.46206,
11569,313933831,5950.0,4.2727199,
11574,246820827,6055.0,4.17662,
11577,246820830,5605.0,4.4689498,
11631,12420394,5654.0,4.5622702,
11633,12511120,5867.0,3.8574699999999997,
11868,246859069,5760.0,3.7842,
11869,246859074,6015.0,4.3323398,
11900,246853154,8498.0,4.0303998,
12031,246853160,6299.0,4.39149,
12064,12420417,6176.0,4.3868999,
12090,246859100,4851.0,4.5764097999999995,
12091,246860521,6335.0,4.1616201,
12171,246853164,6395.0,4.3529601,
12304,246844711,5588.0,4.5201502,
12494,313933887,5690.0,3.9484898999999998,
12521,246885999,6437.0,4.5952902,
12584,246820884,5653.0,4.27175,
12676,246853196,5207.7002,4.1988001,-0.69999999
12686,12511180,5680.0,4.520460099999999,
12733,246853203,5632.0,4.3392900999999995,
12825,246886024,6240.0,4.2839799,
12827,70742127,5130.0,4.5245099,
12839,246820902,6088.0,3.8341601,
12891,246886029,5561.0,3.7886900999999997,
12895,246860560,5187.0,4.5991802,
12953,43364312,6263.0,4.1911998,
13001,246820904,5533.0,3.8863699,
13028,246853220,5685.2002,4.307230000000001,-0.40000001
13096,43364317,6115.0,4.1416101,
13114,246844747,5797.0,4.13096,
13138,246892520,6271.0,3.9418800000000003,
13147,246820914,5158.0,4.5698099,
13187,246886048,5791.1001,4.01087,-0.69999999
13200,313933941,6023.0,4.3804798,
13273,246892556,6092.0,3.8192599,
13324,246886059,6217.0,4.312880000000001,
13329,12394904,5663.0,4.2007198,
13349,313933945,6746.0,4.3299499,
13351,313933947,6452.0,4.3243098,
13353,313933949,6319.0,4.4601798,
13358,70744247,5019.0,4.2934799,
13359,70744248,6104.0,4.51196,
13379,12420487,7228.0,4.4386201,
13464,246892577,6203.0,4.37082,
13538,313933958,6219.0,4.1996101999999995,
13543,12394918,5202.0,4.6026802,
13583,12511225,4584.0,4.2898597999999994,
13614,246853251,6152.0,4.2858901,
13802,246886081,4794.0,4.5571799,
13806,246886085,4959.0,4.642079799999999,
13965,246892676,5760.0,4.44385,
13988,246822326,6095.5298,3.97296,-0.685
14165,12420525,6112.0,4.3717499,
14183,246844806,6091.0,4.5323199999999995,
14199,43364392,5638.0,4.2340102,
14302,402113266,5546.0,4.5051699,
14393,12511267,5628.0,3.9591601,
14403,12511277,5911.0,4.1782297999999995,
14472,12394960,5723.0,4.5495700999999995,
14477,313933997,7188.0,4.3256998,
14511,43360903,5983.0,4.2354598,
14625,12394968,6043.0,4.2150998,
14668,43360910,4871.0,4.6047902,
14765,246822367,5417.0,4.6310902,
14859,63770418,3882.0,4.7003498,
14860,63770419,5801.0,4.0518398,
14912,246822372,5532.0,4.3922099999999995,
14930,246854046,5114.0,4.5488601,
15108,12420590,5380.0,4.5212997999999995,
15111,12420593,5660.0,4.10145,
15115,246822390,5006.0,4.4981198,
15130,63695017,5659.2002,4.4366398,-0.87
15132,63695019,6073.0,4.1525998,
15133,63695020,5349.0,4.430270200000001,
15272,63770421,5588.0,4.0591402,
15292,63695028,6078.0,4.3427801,
15318,246886178,5463.0,3.8162998999999997,
15324,402113284,5910.0,3.9793501000000004,
15395,12422016,6327.0,3.7318398999999998,-0.34999999
15431,246822408,6322.0,4.0696997999999995,
15470,63770435,5480.8799,4.2469301,0.23999999
15477,246886191,5973.0,4.1670699,
15532,43364490,5057.0,4.5703602,
15548,12422019,6278.0,4.3992,
15555,43364502,5730.0,4.296569799999999,
15575,246844864,6201.0,4.0402398,
15607,246860700,5510.0,4.2606301,
15646,246886196,5921.0,4.51999,
15660,246886205,6672.0,4.1121602,
15670,246892858,6302.0,4.2979898,
15729,313934064,5805.0,4.1072998,
15796,246860718,5036.0,4.3923602,
15813,402129868,6346.0,4.48137,
15830,251882236,5210.0,4.3396702000000005,
15849,12422031,5769.0,4.03929,
15850,12422032,6053.0,4.36659,
15872,246854097,5696.0,4.4788599,
15904,63770440,4813.0,4.5987301,
15928,246822435,5572.0,4.59865,
15934,43364525,5972.0,4.3168998,
15936,43364527,5585.0,4.262080200000001,
15943,246844883,5691.0,4.5964999,
16000,12395035,5501.0,4.5946999,
16047,246892870,6003.0,4.474989900000001,
16052,246860729,4794.0,4.40868,
16192,313934081,5813.0,4.52881,
16201,12395050,5798.0,4.36867,
16241,246860741,5616.0,4.5003901,
16324,12422058,6230.0,3.92677,
16380,246854127,3852.0,4.3418198,
16422,313934096,5948.0,4.5053201,
16434,246860755,6258.48,4.0681,
16447,43364565,5952.0,4.2672300000000005,
16510,149021597,6132.0,4.1065798,
16534,43360998,5483.0,4.5574899,
16543,12395063,6544.0,4.312469999999999,
16546,12395066,5270.0,3.7648101,
16581,313934104,6352.0,4.0786901,
16584,313934107,6199.0,3.7435601000000003,
16659,12422072,5737.0,4.5411201,
16689,63770465,5599.0,4.5413499,
16736,313934111,4878.0,4.5985398,
16745,251884376,4936.0,4.56285,
16779,313934115,5117.0,4.583620099999999,
16812,246846501,6134.0,4.2755198,
16851,12422077,6107.0,4.3769498,
16857,246892890,6068.0,4.4223599,
16862,43400210,5731.0,4.349629900000001,
16888,246854148,4090.0,4.6146998,
16895,43361016,6060.0,4.3910398,
16962,313934123,5936.0,4.297120099999999,
17062,43400281,6397.0,4.3208799,
17065,63770480,5608.2002,4.0500898,0.13
17213,12422094,5136.0,4.479070200000001,
17233,246854165,6514.0,4.1525602,
17245,43361030,6111.0,4.0324798,
17316,43373949,5126.0,4.5868201,
17328,43373961,5700.0,4.314720200000001,
17402,246854170,6060.0,4.1793398999999996,
17488,251886471,5964.0,4.1268001000000005,
17568,12422112,5927.0,4.5938501,
17632,43400304,5690.7002,4.365620099999999,-0.28
17688,43373970,5415.0,4.18153,
17716,246892928,5983.0,4.2589998,
17728,246854184,5844.0,4.3618002,
17747,246892930,5398.6001,4.35922,-0.1
17922,12417914,5616.2998,4.0830498,-1.22
17947,246892940,5675.0,4.528379900000001,
18290,12422140,5967.0,4.62218,
18432,246822536,5394.0,3.8037099999999997,
18500,246887677,6048.0,4.1533899,
18632,12417945,6250.0,4.2486,0.0
18670,12422153,5817.0,4.0411801,
18700,246892974,6221.0,3.94941,
18716,246846579,6132.0,4.3058800999999995,
18810,246854226,5970.0,3.8937699999999995,
18811,246854227,5705.0,4.5341301,
18839,63770543,6234.0,4.1193099,
18876,246887691,6208.0,4.2786102,
18890,43362302,6269.0,4.1841898,
18891,43362303,6265.0,4.24125,
19046,63785705,5303.0,4.9568701,
19167,246846608,5524.0,4.26016,
19249,246822572,5299.0,4.233459900000001,
19290,43362319,6179.0,4.1196599,
19359,246846616,6141.0,4.2972102,
19388,246854248,5448.0,4.1981502,
19425,63785728,5922.0,3.9951501000000005,
19515,246860890,6374.0,3.8696101,-0.46000001
19627,43374029,6454.0,4.3429699,
19631,12422189,5751.0,4.6511898,
19721,313934259,5929.0,4.530930000000001,
19728,43362331,4991.0,4.7620602,
19729,43362332,6094.0,4.1394901,
19854,246893014,6198.0,4.1350799,
19935,63770584,4544.0,4.5078902,
20003,12418003,5924.0,4.3046699,
20066,246887748,6222.0,4.345610099999999,
20107,313934275,5953.0,4.4945998,
20111,43362344,6011.0,4.4123502,
20175,246846645,4656.0,4.5794001,
20176,246846646,5779.0,4.5809302,
20242,246887759,5543.0,3.7674699,
20273,313934283,5504.0,4.5815201,
20378,63939627,6388.0,4.1515198,
20393,12418025,5792.0,4.5117002,
20434,63785798,5404.0,4.4937401,
20486,43362366,5764.0,3.9556400999999997,
20514,246860925,6500.0,3.9282801,0.0
20548,12418027,5459.0,4.6424297999999995,
20580,246846657,4560.0,4.470260099999999,
20588,246854292,6234.0,4.2085199,
20630,12422226,6052.2998,4.0216699,-0.44999999
20685,313934298,6141.0,4.4292102,
20707,246860938,5790.0,4.34901,
20744,12418036,5951.0,4.2809401,
20752,12418044,6245.0,4.459929900000001,
20754,12418046,5801.0,4.3595099,
20826,246887787,5924.0,4.0297098,
21048,12422246,4924.0,4.7207999,
21219,63770637,5861.0,4.1079302,
21265,246822647,5625.8999,3.8892,-0.31
21302,43362397,5703.0,4.0897298,
21454,63939664,6913.0,4.1884799,
21554,246860975,6163.5,4.4184699,-0.23
21674,63939669,5880.0,3.8085400999999997,
21815,246846691,5970.0,4.5654997999999996,
21830,43374114,6157.0,4.4453301,
21972,12422281,5746.0,4.0552602,
21975,12422284,5701.7998,4.298870099999999,-0.50999999
22057,43374121,5366.0,4.668330200000001,
22127,43362423,5266.0,4.518269999999999,
22195,246860991,4978.0,4.4481301,
22204,12422289,5786.0,4.631529799999999,
22295,246887832,5222.0,4.551670099999999,
22399,12422297,7028.0,4.1144099,
22472,63785345,5357.1001,3.69524,-0.54000002
22495,43374135,5761.0,4.5997901,
22559,246822689,5419.0,4.45226,
